Files already downloaded and verified
Ignoring network_output argument, using prob and logprob to obtain KL divergence
CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64
validate.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_0_100.json --constraint=RobustnessDandR(eps1=7.8, eps2=2.9) --dl2-weight=0.0 --batch-size=64 --name=CIFAR100_res_valid --checkpoint_folder=CIFAR100_res --log_file=process_output/textfiles/log_CIFAR100_resnet50_0_100_0.0_RobustnessDandR_eps1=7.8,_eps2=2.9__64.txt --starting_line=600
print_iter, train_iter, train_loss, train_dl2_loss, train_top1, train_top5,  test_loss,  test_acc, inf_time
995, 133050405466086939214179471505821370679000, 0.0025, 0.0000, 100.000, 100.000, 1.1129, 76.190, 
997, 133050405466086939214179471505821370679200, 0.0025, 0.0000, 100.000, 100.000, 1.1236, 76.200, 
999, 266100810932173878428358943011642741358000, 0.0028, 0.0000, 100.000, 100.000, 1.1150, 76.340, 
1001, 266100810932173878428358943011642741358200, 0.0038, 0.0000, 100.000, 100.000, 1.1192, 76.420, 
1003, 266100810932173878428358943011642741358400, 0.0057, 13.1382, 100.000, 100.000, 1.1157, 76.410, 
1005, 532201621864347756856717886023285482716500, 0.0049, 0.0000, 100.000, 100.000, 1.1137, 76.310, 
1007, 532201621864347756856717886023285482716700, 0.0057, 0.0000, 100.000, 100.000, 1.1197, 76.120, 
1009, 532201621864347756856717886023285482716900, 0.0029, 0.0000, 100.000, 100.000, 1.1203, 76.440, 
1011, 532201621864347756856717886023285482717100, 0.0046, 0.0000, 100.000, 100.000, 1.1178, 76.350, 
1013, 1064403243728695513713435772046570965433700, 0.0041, 25.7962, 100.000, 100.000, 1.1225, 76.280, 
1015, 1064403243728695513713435772046570965433900, 0.0026, 0.0000, 100.000, 100.000, 1.1221, 76.380, 
1017, 1064403243728695513713435772046570965434100, 0.0030, 6.2928, 100.000, 100.000, 1.1163, 76.380, 
1019, 1064403243728695513713435772046570965434300, 0.0059, 27.7172, 100.000, 100.000, 1.1194, 76.460, 
1021, 2128806487457391027426871544093141930868100, 0.0062, 0.0000, 100.000, 100.000, 1.1175, 76.430, 
1023, 2128806487457391027426871544093141930868300, 0.0032, 12.4075, 100.000, 100.000, 1.1181, 76.440, 
1025, 2128806487457391027426871544093141930868500, 0.0106, 16.5128, 100.000, 100.000, 1.1265, 76.430, 
1027, 2128806487457391027426871544093141930868700, 0.0013, 0.0000, 100.000, 100.000, 1.1223, 76.620, 
1029, 4257612974914782054853743088186283861736800, 0.0034, 14.3416, 100.000, 100.000, 1.1263, 76.510, 
1031, 4257612974914782054853743088186283861737000, 0.0046, 0.0000, 100.000, 100.000, 1.1188, 76.480, 
1033, 4257612974914782054853743088186283861737200, 0.0065, 0.0000, 100.000, 100.000, 1.1235, 76.410, 
1035, 4257612974914782054853743088186283861737400, 0.0029, 0.0000, 100.000, 100.000, 1.1249, 76.580, 
1037, 8515225949829564109707486176372567723474300, 0.0031, 0.0000, 100.000, 100.000, 1.1260, 76.450, 
1039, 8515225949829564109707486176372567723474500, 0.0014, 0.0000, 100.000, 100.000, 1.1271, 76.220, 
1041, 8515225949829564109707486176372567723474700, 0.0029, 0.0000, 100.000, 100.000, 1.1212, 76.620, 
1043, 8515225949829564109707486176372567723474900, 0.0022, 0.0000, 100.000, 100.000, 1.1159, 76.520, 
1045, 17030451899659128219414972352745135446949300, 0.0039, 0.0000, 100.000, 100.000, 1.1219, 76.480, 
1047, 17030451899659128219414972352745135446949500, 0.0041, 0.0000, 100.000, 100.000, 1.1100, 76.430, 
1049, 17030451899659128219414972352745135446949700, 0.0046, 0.0000, 100.000, 100.000, 1.1142, 76.360, 
1051, 34060903799318256438829944705490270893899000, 0.0030, 0.0000, 100.000, 100.000, 1.1217, 76.430, 
1053, 34060903799318256438829944705490270893899200, 0.0224, 0.0000, 98.438, 100.000, 1.1198, 76.460, 
1055, 34060903799318256438829944705490270893899400, 0.0016, 0.0000, 100.000, 100.000, 1.1141, 76.430, 
1057, 34060903799318256438829944705490270893899600, 0.0034, 0.0000, 100.000, 100.000, 1.1127, 76.500, 
1059, 68121807598636512877659889410980541787798800, 0.0038, 0.0000, 100.000, 100.000, 1.1277, 76.470, 
1061, 68121807598636512877659889410980541787799000, 0.0073, 13.3871, 100.000, 100.000, 1.1141, 76.730, 
1063, 68121807598636512877659889410980541787799200, 0.0024, 0.0000, 100.000, 100.000, 1.1080, 76.470, 
1065, 68121807598636512877659889410980541787799400, 0.0024, 0.0000, 100.000, 100.000, 1.1084, 76.580, 
1067, 136243615197273025755319778821961083575598400, 0.0057, 9.1733, 100.000, 100.000, 1.1167, 76.510, 
1069, 136243615197273025755319778821961083575598600, 0.0032, 0.0000, 100.000, 100.000, 1.1077, 76.470, 
1071, 136243615197273025755319778821961083575598800, 0.0032, 0.0000, 100.000, 100.000, 1.1120, 76.460, 
1073, 136243615197273025755319778821961083575599000, 0.0026, 0.0000, 100.000, 100.000, 1.1149, 76.400, 
1075, 272487230394546051510639557643922167151197500, 0.0032, 0.0000, 100.000, 100.000, 1.1076, 76.660, 
1077, 272487230394546051510639557643922167151197700, 0.0010, 0.0000, 100.000, 100.000, 1.1066, 76.460, 
1079, 272487230394546051510639557643922167151197900, 0.0073, 0.0000, 100.000, 100.000, 1.1119, 76.590, 
1081, 272487230394546051510639557643922167151198100, 0.0029, 0.0000, 100.000, 100.000, 1.1059, 76.620, 
1083, 544974460789092103021279115287844334302395700, 0.0016, 11.2669, 100.000, 100.000, 1.1101, 76.510, 
1085, 544974460789092103021279115287844334302395900, 0.0023, 0.0000, 100.000, 100.000, 1.1104, 76.770, 
1087, 544974460789092103021279115287844334302396100, 0.0062, 0.0000, 100.000, 100.000, 1.1109, 76.610, 
